p3n,p2n,p1n,p0n,g3n,g2n,g1n,g0n,cnn,V(cnx),V(cny),V(cnz),V(gn),V(pn),I(Va),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9)
0,0,1,0,0,1,1,0,0, 9.998972e-01, 5.070727e-05, 5.075398e-05, 1.231514e-04, 9.999445e-01, -1.03150e-06, 8.437428e-11, 1.036890e-10, -1.91466e-10, 1.567575e-10, 1.315042e-10, -4.77010e-10, -5.56815e-10, 2.434044e-10, 5.662104e-11
0,0,1,0,0,1,1,0,1, 9.998972e-01, 5.070710e-05, 5.075412e-05, 1.231500e-04, 9.999445e-01, -1.06708e-06, 8.437428e-11, 1.036890e-10, -1.91467e-10, 1.567575e-10, 1.315042e-10, -4.77010e-10, -5.56815e-10, 2.443101e-10, -2.38640e-10
0,0,1,0,0,1,1,1,0, 9.998972e-01, 5.070735e-05, 5.075370e-05, 1.231496e-04, 9.999445e-01, -1.06606e-06, 8.437428e-11, 1.036890e-10, -1.91466e-10, 1.576632e-10, 1.315042e-10, -4.77010e-10, -6.36171e-10, -3.97777e-10, 9.012355e-11
0,0,1,0,0,1,1,1,1, 3.534877e-04, 9.194273e-07, 9.201626e-07, 1.231499e-04, 9.999445e-01, -1.24140e-06, 8.437428e-11, 1.036890e-10, -1.91466e-10, 1.576632e-10, 1.315042e-10, -4.77010e-10, -6.36171e-10, -5.56477e-10, -2.38659e-10
0,0,1,0,1,0,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231483e-04, 9.999445e-01, -8.95826e-07, 8.482717e-11, 1.032361e-10, -1.91460e-10, 1.563046e-10, -2.38725e-10, 2.766248e-10, 2.285968e-10, 2.317829e-10, 5.662104e-11
0,0,1,0,1,0,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231500e-04, 9.999445e-01, -9.31409e-07, 8.482717e-11, 1.032361e-10, -1.91460e-10, 1.563046e-10, -2.38725e-10, 2.766248e-10, 2.285968e-10, 2.326886e-10, -2.38640e-10
0,0,1,0,1,0,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231498e-04, 9.999445e-01, -9.54414e-07, 8.482717e-11, 1.032361e-10, -1.91460e-10, 1.572104e-10, -2.38725e-10, 2.766248e-10, 2.402183e-10, -3.18422e-10, 7.895833e-11
0,0,1,0,1,0,0,1,1, 3.534874e-04, 9.998973e-01, 9.998974e-01, 1.231493e-04, 9.999445e-01, -1.03054e-06, 8.482717e-11, 1.032361e-10, -1.91460e-10, 1.572104e-10, -2.38725e-10, 2.766248e-10, 2.402183e-10, -4.77118e-10, -2.38653e-10
0,0,1,0,1,0,1,0,0, 9.998972e-01, 5.070722e-05, 9.998974e-01, 1.231488e-04, 9.999445e-01, -9.91077e-07, 8.482717e-11, 1.032361e-10, -2.70809e-10, 1.567574e-10, -2.38725e-10, 2.891521e-10, -4.77448e-10, 2.434044e-10, 5.662104e-11
0,0,1,0,1,0,1,0,1, 9.998972e-01, 5.070729e-05, 9.998974e-01, 1.231511e-04, 9.999445e-01, -1.02666e-06, 8.482717e-11, 1.032361e-10, -2.70809e-10, 1.567575e-10, -2.38725e-10, 2.891521e-10, -4.77448e-10, 2.443102e-10, -2.38640e-10
